id,source,brand,product_url,title,category,gender,price,sale,description,image_url,second_hand
,scraper-bound,Bound,https://wearebound.com/products/nfl-canvas-chore-jacket,NFL CANVAS CHORE JACKET,Jackets & Coats,UNISEX,99USD,99USD,,http://wearebound.com/cdn/shop/files/nfl_jacket_frontback_8cf11de0-953d-4e3c-b178-c84142e92b0a.jpg?v=1757942967,False
,scraper-bound,Bound,https://wearebound.com/products/eagles-canvas-chore-jacket,EAGLES CANVAS CHORE JACKET,Jackets & Coats,UNISEX,99USD,99USD,,http://wearebound.com/cdn/shop/files/eagles_jacket_frontback.jpg?v=1757942942,False
,scraper-bound,Bound,https://wearebound.com/products/giants-canvas-chore-jacket,GIANTS CANVAS CHORE JACKET,Jackets & Coats,UNISEX,99USD,99USD,,http://wearebound.com/cdn/shop/files/giants_jacket_frontback_350d0c05-cb2e-4e18-9257-a99d665f2c36.jpg?v=1757942923,False
,scraper-bound,Bound,https://wearebound.com/products/giants-knitwear-sweater,GIANTS KNITWEAR SWEATER,Sweaters,UNISEX,106USD,106USD,,http://wearebound.com/cdn/shop/files/giants_knit.jpg?v=1757942854,False
,scraper-bound,Bound,https://wearebound.com/products/eagles-knitwear-sweater,EAGLES KNITWEAR SWEATER,Sweaters,UNISEX,106USD,106USD,,http://wearebound.com/cdn/shop/files/eagles_knit.jpg?v=1757942839,False
,scraper-bound,Bound,https://wearebound.com/products/script-embroidered-6-panel-cap-forest-green,SCRIPT EMBROIDERED 6 PANEL CAP - FOREST GREEN,Caps,UNISEX,57USD,57USD,,http://wearebound.com/cdn/shop/files/script_b_cap_green.jpg?v=1757973024,False
,scraper-bound,Bound,https://wearebound.com/products/script-embroidered-6-panel-cap-navy,SCRIPT EMBROIDERED 6 PANEL CAP - NAVY,Caps,UNISEX,57USD,57USD,,http://wearebound.com/cdn/shop/files/script_b_cap_navy_f2b81e74-1973-4017-8858-da0779bf9e57.jpg?v=1757973074,False
,scraper-bound,Bound,https://wearebound.com/products/script-embroidered-6-panel-cap-mushroom,SCRIPT EMBROIDERED 6 PANEL CAP - MUSHROOM,Caps,UNISEX,57USD,57USD,,http://wearebound.com/cdn/shop/files/script_b_cap_brown.jpg?v=1757973059,False
,scraper-bound,Bound,https://wearebound.com/products/red-label-tee-white,RED LABEL TEE - WHITE,T-Shirts,UNISEX,71USD,71USD,,http://wearebound.com/cdn/shop/files/99056.jpg?v=1754306748,False
,scraper-bound,Bound,https://wearebound.com/products/top-that-tee-white,TOP THAT TEE - WHITE,T-Shirts,UNISEX,71USD,71USD,,http://wearebound.com/cdn/shop/files/99103.jpg?v=1754306844,False
,scraper-bound,Bound,https://wearebound.com/products/buzzin-tee-white,BUZZIN' TEE - WHITE,T-Shirts,UNISEX,71USD,71USD,,http://wearebound.com/cdn/shop/files/99126.jpg?v=1754306935,False
